FileName,SPS Plot,SPS_mu0,SPS_sig0,SPS_Gain,SPS_sGain,SPS_Npe,SPS_lambda,SPS_mean,SPS_stdev,SPS_skew,SPS_chi2,SPS_NDF,Gauss0_mean,Gauss0_sigma,Gauss0_N,Gauss0_Integral,Gauss0_Chi2,Gauss0_NDF,Gauss1_mean,Gauss1_sigma,Gauss1_N,Gauss1_Integral,Gauss1_Chi2,Gauss1_NDF,SPS_hist_entries,SPS_Gain_err,Gauss0_mean_err,Gauss1_mean_err,SPS_lambda_err,SiPM_Voltage,Temperature
08112021_SPS_T25p00_40p00V.root,08112021_SPS_T25p00_40p00V_SPS.png,219.268,3.81543,12.3776,0.6986829999999999,0.956849,0.00276472,214.24900000000002,61.0279,-3.0497,105.637,82,219.63099999999997,4.20158,1466.92,13426,14.9029,6,231.291,4.447690000000001,1371.77,13625,16.0457,6,40020,0.0459079,0.0929148,0.0921453,0.00429573,40.0,25.0
08112021_SPS_T25p04_40p25V.root,08112021_SPS_T25p04_40p25V_SPS.png,219.03099999999998,3.99295,13.8333,-0.485575,1.01575,0.00968088,211.69799999999998,68.6865,-2.5969599999999997,76.7154,95,219.08700000000002,4.0696,1308.43,12305,2.27295,6,232.81,4.42649,1282.52,13638,2.99568,6,40018,0.035961900000000005,0.0774278,0.0839276,0.00426707,40.25,25.04
08112021_SPS_T25p05_40p50V.root,08112021_SPS_T25p05_40p50V_SPS.png,219.05599999999998,3.9499699999999995,15.1026,0.9361280000000001,1.07497,0.00842475,212.917,70.7427,-2.49187,141.303,111,219.30900000000003,4.05779,1228.35,11926,16.2575,8,234.09400000000002,4.35829,1276.11,13326,7.1575,8,40017,0.033727999999999994,0.06370819999999999,0.066375,0.00420196,40.5,25.05
08112021_SPS_T25p05_40p75V.root,08112021_SPS_T25p05_40p75V_SPS.png,219.15,4.10776,16.4827,0.981034,1.09253,0.018613,218.923,65.7679,-2.7422,112.059,116,219.297,4.15842,1196.67,12080,6.39436,8,235.602,4.17848,1250.17,13190,10.6071,8,40019,0.031084800000000003,0.0658495,0.060136199999999994,0.0038189,40.75,25.05
08112021_SPS_T25p06_41p00V.root,08112021_SPS_T25p06_41p00V_SPS.png,219.02200000000002,4.184769999999999,17.7856,1.1435799999999998,0.967151,0.0249539,212.112,74.0372,-2.30713,184.873,121,219.06900000000002,4.10348,1304.25,13254,29.6899,10,236.834,4.39445,1150.79,12868,27.7029,10,40018,0.0322678,0.0501019,0.0576024,0.00396062,41.0,25.06
08112021_SPS_T25p06_41p25V.root,08112021_SPS_T25p06_41p25V_SPS.png,219.058,4.262490000000001,19.1577,1.4853100000000001,0.997822,0.0245021,223.955,60.4294,-2.96256,177.72,131,219.09900000000002,4.17279,1294.82,13655,17.0626,10,238.19099999999997,4.32944,1203.69,13399,20.2913,10,40018,0.0332104,0.0512722,0.05690599999999999,0.00386934,41.25,25.06
08112021_SPS_T25p07_41p50V.root,08112021_SPS_T25p07_41p50V_SPS.png,219.071,4.2493099999999995,20.5315,1.66485,1.02016,0.030006799999999997,226.35299999999998,60.4022,-2.9115599999999997,236.60299999999998,144,219.09799999999998,4.09123,1280.05,13511,22.718000000000004,12,239.639,4.34037,1199.21,13266,10.9248,12,40009,0.0314932,0.0443917,0.0488147,0.00393135,41.5,25.07
08112021_SPS_T25p07_41p75V.root,08112021_SPS_T25p07_41p75V_SPS.png,218.955,4.3081,21.8471,1.70697,1.03677,0.03433819999999999,219.97799999999998,73.5972,-2.29333,431.108,153,218.97799999999998,3.9916099999999997,1225.8,12728,37.5987,12,240.773,4.21486,1158.96,12905,33.9947,12,40018,0.030625799999999998,0.0438408,0.0478761,0.00378366,41.75,25.07
08112021_SPS_T25p08_42p00V.root,08112021_SPS_T25p08_42p00V_SPS.png,219.082,4.3254,23.0801,1.92083,1.0522200000000002,0.0401378,222.511,73.6431,-2.2693,489.205,168,219.09599999999998,4.030069999999999,1197.16,12661,8.88762,12,242.183,4.24328,1144.4,12759,27.1224,12,40019,0.0305107,0.045240800000000005,0.0492696,0.00392166,42.0,25.08
08112021_SPS_T25p08_42p25V.root,08112021_SPS_T25p08_42p25V_SPS.png,218.875,4.32669,24.4558,2.30953,1.0668799999999998,0.0481075,224.32,74.7285,-2.1949799999999997,630.413,178,218.887,4.09307,1168.76,12579,35.9786,14,243.361,4.38135,1097.44,12575,57.5417,14,40020,0.0326177,0.0426209,0.0478945,0.00380937,42.25,25.08
08112021_SPS_T25p09_42p50V.root,08112021_SPS_T25p09_42p50V_SPS.png,218.761,4.3411,25.8246,2.4143,1.0813700000000002,0.0536456,226.153,75.8305,-2.12308,923.198,192,218.763,4.0789800000000005,1147.03,12401,42.1924,14,244.687,4.24138,1102.73,12542,49.2099,14,40018,0.0322067,0.0429029,0.04555069999999999,0.00396454,42.5,25.09
